step,id,x,y,z
3,26,0.496741,0.502528,0.495716
3,27,0.494035,0.477393,0.51265
3,28,0.499854,0.499504,0.503027
3,29,0.505955,0.504903,0.511285
3,30,0.503069,0.494819,0.500919
3,31,0.499326,0.50345,0.496732
3,32,0.531416,0.515272,0.531792
3,33,0.49904,0.509412,0.508456
3,34,0.509423,0.497994,0.499962
3,35,0.498467,0.513438,0.501252
3,36,0.500276,0.499113,0.499361
3,37,0.50658,0.503432,0.502687
3,38,0.502276,0.50115,0.503073
3,39,0.506007,0.512919,0.494784
3,40,0.507045,0.509159,0.499375
3,41,0.48813,0.487619,0.488898
3,42,0.497805,0.498113,0.497513
3,43,0.504936,0.498981,0.498467
3,44,0.493883,0.495103,0.501103
3,45,0.491437,0.499759,0.505901
3,46,0.488656,0.485994,0.49401
3,47,0.502883,0.498073,0.492632
3,48,0.503611,0.501307,0.506015
3,49,0.499955,0.503778,0.499788
3,50,0.497731,0.510418,0.504405
3,51,0.501552,0.514483,0.502111
3,52,0.509474,0.497557,0.502024
3,53,0.491555,0.509395,0.50233
3,54,0.500441,0.504848,0.500577
3,55,0.499194,0.510301,0.49991
3,56,0.503754,0.494338,0.499565
3,57,0.513572,0.510151,0.509034
3,58,0.497994,0.49856,0.502019
3,59,0.50081,0.512461,0.489468
3,60,0.497213,0.511031,0.497862
3,61,0.506498,0.507074,0.506771
3,62,0.502029,0.498649,0.503732
3,63,0.506024,0.498206,0.497647
3,64,0.504192,0.50182,0.494138
3,65,0.499583,0.49534,0.510657
3,66,0.490235,0.483586,0.494432
3,67,0.495496,0.494668,0.493689
3,68,0.497899,0.509515,0.509029
3,69,0.500296,0.482295,0.499521
3,70,0.498224,0.500729,0.497495
3,71,0.496385,0.515348,0.498969
3,72,0.491662,0.495418,0.505266
3,73,0.498828,0.50039,0.503947
3,74,0.493049,0.497707,0.499849
3,75,0.503125,0.503824,0.500071
3,76,0.499518,0.498254,0.506293
3,77,0.48986,0.509915,0.494614
3,78,0.507299,0.498027,0.503388
3,79,0.499939,0.504711,0.499188
3,80,0.493057,0.499813,0.49866
3,81,0.499045,0.494035,0.498528
3,82,0.492031,0.489401,0.504006
3,83,0.50968,0.503929,0.498871
3,84,0.50058,0.500085,0.495637
3,85,0.501749,0.498669,0.494431
3,86,0.500616,0.501891,0.495962
3,87,0.501403,0.493134,0.501059
3,88,0.506716,0.501466,0.499805
3,89,0.496667,0.492182,0.495151
3,90,0.510704,0.50678,0.501067
3,91,0.481558,0.49652,0.510801
3,92,0.498746,0.46086,0.536938
3,93,0.500444,0.501726,0.500766
3,94,0.592195,0.512038,0.522254
3,95,0.508405,0.505192,0.496549
3,96,0.503671,0.498009,0.501581
3,97,0.490619,0.504839,0.50044
3,98,0.513143,0.493656,0.497178
3,99,0.508134,0.497913,0.503749
4,0,0.499921,0.5116,0.519839
4,1,0.502451,0.490517,0.500687
4,2,0.50753,0.496813,0.500807
4,3,0.501104,0.501008,0.500991
4,4,0.50685,0.500751,0.503351
4,5,0.483188,0.537045,0.538546
4,6,0.49499,0.49412,0.499158
4,7,0.503254,0.500236,0.499269
4,8,0.496486,0.504053,0.497122
4,9,0.494387,0.486193,0.490056
4,10,0.50003,0.513763,0.496428
4,11,0.49573,0.49467,0.497756
4,12,0.498141,0.510064,0.504066
4,13,0.501858,0.497988,0.499876
4,14,0.530494,0.534164,0.511528
4,15,0.495027,0.506987,0.473382
4,16,0.494941,0.49382,0.500188
4,17,0.499563,0.495176,0.503008
4,18,0.49099,0.504597,0.500205
4,19,0.496821,0.499312,0.498334
4,20,0.495772,0.492446,0.490425
4,21,0.492501,0.496941,0.509916
4,22,0.504959,0.494726,0.501618
4,23,0.494263,0.508462,0.494909
4,24,0.487901,0.499941,0.490698
4,25,0.498236,0.491881,0.498625
4,26,0.495246,0.503221,0.494624
4,27,0.494064,0.478044,0.512232
4,28,0.500251,0.498942,0.503683
4,29,0.505804,0.505607,0.511837
4,30,0.503701,0.494687,0.501046
4,31,0.499388,0.503383,0.495436
4,32,0.530843,0.515257,0.531849
4,33,0.49875,0.51162,0.509414
4,34,0.5071,0.497208,0.499927
4,35,0.497399,0.513356,0.502099
4,36,0.500933,0.498667,0.500351
4,37,0.507054,0.502577,0.503319
4,38,0.502613,0.500547,0.504154
4,39,0.505856,0.51463,0.494322
4,40,0.508767,0.510892,0.499327
4,41,0.48798,0.48726,0.488888
4,42,0.497764,0.498448,0.498313
4,43,0.504735,0.498545,0.499263
4,44,0.493034,0.495471,0.500078
4,45,0.491719,0.498415,0.505898
4,46,0.488202,0.486047,0.494937
4,47,0.502619,0.498546,0.491511
4,48,0.503847,0.501443,0.506492
4,49,0.500653,0.503596,0.499901
4,50,0.49757,0.510218,0.504608
4,51,0.501724,0.516672,0.502102
4,52,0.510759,0.498085,0.502442
4,53,0.492473,0.509041,0.502295
4,54,0.500084,0.506038,0.501013
4,55,0.498907,0.509063,0.500585
4,56,0.505178,0.493955,0.498647
4,57,0.514417,0.511126,0.509566
4,58,0.498817,0.498737,0.502139
4,59,0.50171,0.514857,0.488608
4,60,0.4964,0.513507,0.497212
4,61,0.507751,0.508853,0.507665
4,62,0.502749,0.498183,0.504027
4,63,0.505631,0.49955,0.49721
4,64,0.505582,0.502824,0.493318
4,65,0.499485,0.493784,0.512306
4,66,0.489867,0.482541,0.493943
4,67,0.495673,0.495495,0.493431
4,68,0.49827,0.511156,0.509958
4,69,0.500424,0.481914,0.501224
4,70,0.497203,0.500767,0.497707
4,71,0.494753,0.51692,0.498655
4,72,0.492335,0.495285,0.505747
4,73,0.498911,0.50027,0.50511
4,74,0.493313,0.497081,0.499512
4,75,0.505245,0.504335,0.500531
4,76,0.500269,0.499916,0.506577
4,77,0.489602,0.508904,0.49463
4,78,0.506535,0.497829,0.503147
4,79,0.499757,0.505319,0.499102
4,80,0.492828,0.499473,0.49793
4,81,0.498197,0.49222,0.498543
4,82,0.490456,0.486967,0.504813
4,83,0.51057,0.503147,0.498975
4,84,0.501232,0.499015,0.495033
4,85,0.502926,0.498056,0.493965
4,86,0.50072,0.501191,0.496493
4,87,0.500622,0.493556,0.502064
4,88,0.508122,0.501708,0.499487
4,89,0.496023,0.492842,0.494102
4,90,0.511291,0.507106,0.501237
4,91,0.481524,0.496418,0.511543
4,92,0.498525,0.461093,0.536805
4,93,0.500948,0.502775,0.501435
4,94,0.591862,0.512052,0.522079
4,95,0.507218,0.505153,0.496093
4,96,0.504422,0.497328,0.501673
4,97,0.489637,0.504763,0.50075
4,98,0.511475,0.494139,0.496478
4,99,0.509463,0.498116,0.50458
5,0,0.49952,0.5105,0.519951
5,1,0.503783,0.4901,0.501765
5,2,0.507291,0.496278,0.499656
5,3,0.501033,0.500828,0.501269
5,4,0.506534,0.499135,0.504071
5,5,0.483821,0.537019,0.538539
5,6,0.494009,0.493759,0.499242
5,7,0.503884,0.499538,0.498678
5,8,0.495839,0.502889,0.49753
5,9,0.495087,0.486218,0.490554
5,10,0.500298,0.512593,0.496941
5,11,0.495768,0.493444,0.498663
5,12,0.499283,0.509758,0.503418
5,13,0.501354,0.498508,0.499549
5,14,0.530494,0.53395,0.511034
5,15,0.495044,0.507167,0.473034
5,16,0.495809,0.494269,0.500614
5,17,0.499423,0.493856,0.503175
5,18,0.490785,0.505753,0.50014
5,19,0.496584,0.498529,0.499022
5,20,0.496029,0.491103,0.489338
5,21,0.491994,0.497524,0.51158
5,22,0.505179,0.495065,0.502098
5,23,0.493638,0.50992,0.493868
5,24,0.487638,0.50073,0.492045
5,25,0.496768,0.491337,0.498516
5,26,0.493827,0.503838,0.493597
5,27,0.494103,0.478748,0.511782
5,28,0.500595,0.49846,0.504256
5,29,0.505628,0.506288,0.512253
5,30,0.504279,0.494636,0.501089
5,31,0.499528,0.50324,0.494205
5,32,0.53026,0.515238,0.531893
5,33,0.498484,0.513774,0.510289
5,34,0.504671,0.496481,0.499964
5,35,0.496368,0.513175,0.502916
5,36,0.501522,0.498297,0.501344
5,37,0.50748,0.501643,0.503881
5,38,0.502903,0.499865,0.505165
5,39,0.505667,0.516222,0.493904
5,40,0.510415,0.512554,0.499305
5,41,0.48788,0.48694,0.48893
5,42,0.497806,0.498842,0.499176
5,43,0.504452,0.498184,0.500151
5,44,0.492272,0.495894,0.49904
5,45,0.492119,0.497101,0.505862
5,46,0.487822,0.486158,0.495879
5,47,0.502316,0.499047,0.490529
5,48,0.504036,0.501499,0.506898
5,49,0.50129,0.503342,0.500105
5,50,0.497445,0.50992,0.504781
5,51,0.501861,0.518752,0.50207
5,52,0.5119,0.498655,0.502821
5,53,0.493451,0.508607,0.502234
5,54,0.499745,0.50717,0.501378
5,55,0.498655,0.507726,0.50123
5,56,0.506519,0.493646,0.497824
5,57,0.515214,0.51206,0.510055
5,58,0.499732,0.498972,0.50217
5,59,0.502595,0.517199,0.487805
5,60,0.495623,0.515873,0.49662
5,61,0.508957,0.510546,0.508522
5,62,0.503415,0.497796,0.504239
5,63,0.505167,0.500897,0.496863
5,64,0.506911,0.503756,0.49259
5,65,0.499421,0.492259,0.513834
5,66,0.489529,0.48156,0.493463
5,67,0.495933,0.496381,0.493236
5,68,0.498664,0.512744,0.510804
5,69,0.500536,0.48162,0.502915
5,70,0.49626,0.500729,0.497982
5,71,0.493136,0.5184,0.498363
5,72,0.493114,0.495196,0.506167
5,73,0.499076,0.500109,0.506199
5,74,0.493658,0.496514,0.49924
5,75,0.507318,0.504765,0.50092
5,76,0.501037,0.501562,0.506779
5,77,0.489422,0.507836,0.494675
5,78,0.505716,0.49771,0.502821
5,79,0.499654,0.505851,0.499079
5,80,0.492681,0.499192,0.497264
5,81,0.497399,0.490506,0.498599
5,82,0.488945,0.484596,0.505592
5,83,0.511336,0.502333,0.499125
5,84,0.501802,0.498019,0.494523
5,85,0.504021,0.497517,0.493592
5,86,0.500764,0.500419,0.497117
